mech_game_id,game_id,mechanic
227,157354,Area_Control_Area_Influence
228,157354,AuctionBidding
229,157354,Modular_Board
230,157354,Set_Collection
231,157354,Variable_Phase_Order
232,93,Area_Control_Area_Influence
233,93,Area_Movement
234,93,AuctionBidding
235,93,Card_Drafting
236,93,Hand_Management
237,93,Memory
238,93,Simultaneous_Action_Selection
239,163412,Tile_Placement
240,163412,Time_Track
241,132531,Deck_Pool_Building
242,132531,Dice_Rolling
243,132531,Simultaneous_Action_Selection
244,132531,Variable_Phase_Order
245,132531,Variable_Player_Powers
246,159675,Worker_Placement
247,40834,Card_Drafting
248,40834,Deck_Pool_Building
249,40834,Hand_Management
250,201808,Card_Drafting
251,201808,Deck_Pool_Building
252,201808,Player_Elimination
253,201808,Point_to_Point_Movement
254,201808,Press_Your_Luck
255,150376,Action_Point_Allowance_System
256,150376,Area_Movement
257,150376,Co-operative_Play
258,150376,Dice_Rolling
259,150376,Hand_Management
260,150376,Press_Your_Luck
261,150376,Storytelling
262,150376,Trading
263,150376,Variable_Player_Powers
264,150376,Voting
265,103885,Action_Movement_Programming
266,103885,Dice_Rolling
267,103885,Player_Elimination
268,103885,Simultaneous_Action_Selection
269,103885,Variable_Player_Powers
270,37111,Area_Movement
271,37111,Co-operative_Play
272,37111,Dice_Rolling
273,37111,Hand_Management
274,37111,Partnerships
275,37111,Role_Playing
276,37111,Variable_Player_Powers
277,221107,Co-operative_Play
278,221107,Hand_Management
279,221107,Pick-up_and_Deliver
280,221107,Point_to_Point_Movement
281,221107,Set_Collection
282,221107,Variable_Player_Powers
283,2511,Co-operative_Play
284,2511,Storytelling
285,172386,Action_Movement_Programming
286,172386,Area_Control_Area_Influence
287,172386,Card_Drafting
288,172386,Deck_Pool_Building
289,172386,Hand_Management
290,172386,Simultaneous_Action_Selection
291,172386,Stock_Holding
292,172386,Variable_Player_Powers
293,172386,Worker_Placement
294,144733,Worker_Placement
295,102680,Area_Movement
296,102680,Card_Drafting
297,102680,Hand_Management
298,102680,Set_Collection
299,73439,Area_Control_Area_Influence
300,73439,Dice_Rolling
301,73439,Worker_Placement
302,36218,Card_Drafting
303,36218,Deck_Pool_Building
304,36218,Hand_Management
305,42,Area_Control_Area_Influence
306,42,Hand_Management
307,42,Set_Collection
308,42,Tile_Placement
309,30549,Action_Point_Allowance_System
310,30549,Co-operative_Play
311,30549,Hand_Management
312,30549,Point_to_Point_Movement
313,30549,Set_Collection
314,30549,Trading
315,30549,Variable_Player_Powers
316,220308,Modular_Board
317,220308,RouteNetwork_Building
318,220308,Variable_Phase_Order
319,220308,Variable_Player_Powers
320,194655,Grid_Movement
321,194655,Tile_Placement
322,194655,Variable_Player_Powers
323,125153,Commodity_Speculation
324,125153,Set_Collection
325,125153,Worker_Placement
326,521,Partnerships
327,104162,Action_Point_Allowance_System
328,104162,Dice_Rolling
329,104162,Grid_Movement
330,104162,Hand_Management
331,104162,Modular_Board
332,104162,Partnerships
333,104162,Variable_Player_Powers
334,127023,Action_Point_Allowance_System
335,127023,Area_Control_Area_Influence
336,127023,Area_Movement
337,127023,Card_Drafting
338,127023,Hand_Management
339,127023,Variable_Phase_Order
340,155426,Card_Drafting
341,155426,Pattern_Building
342,155426,Set_Collection
343,155426,Tile_Placement
344,9609,Action_Point_Allowance_System
345,9609,Area_Control_Area_Influence
346,9609,Area_Movement
347,9609,Campaign_Battle_Card_Driven
348,9609,Dice_Rolling
349,9609,Hand_Management
350,34635,Dice_Rolling
351,34635,Set_Collection
352,34635,Worker_Placement
353,161970,Action_Point_Allowance_System
354,161970,Card_Drafting
355,161970,Hand_Management
356,161970,Worker_Placement
357,216132,Commodity_Speculation
358,216132,Modular_Board
359,216132,RouteNetwork_Building
360,216132,Variable_Player_Powers
361,128882,Memory
362,128882,Partnerships
363,128882,Simultaneous_Action_Selection
364,128882,Variable_Player_Powers
365,128882,Voting
366,103343,Area_Control_Area_Influence
367,103343,Area_Movement
368,103343,AuctionBidding
369,103343,Hand_Management
370,103343,Player_Elimination
371,103343,Simultaneous_Action_Selection
372,103343,Variable_Player_Powers
373,175155,Area_Control_Area_Influence
374,175155,Dice_Rolling
375,175155,Hand_Management
376,175155,Modular_Board
377,175155,Variable_Player_Powers
378,155068,Dice_Rolling
379,155068,Grid_Movement
380,155068,Modular_Board
381,155068,Variable_Player_Powers
382,146652,Card_Drafting
383,146652,Co-operative_Play
384,146652,Deck_Pool_Building
385,146652,Partnerships
386,146652,Player_Elimination
387,146652,Variable_Player_Powers
388,147020,Card_Drafting
389,147020,Deck_Pool_Building
390,147020,Hand_Management
391,147020,Take_That
392,70149,Modular_Board
393,70149,Pattern_Building
394,70149,Set_Collection
395,70149,Tile_Placement
396,70149,Worker_Placement
397,123260,Card_Drafting
398,123260,Set_Collection
399,123260,Tile_Placement
400,126042,Card_Drafting
401,126042,Variable_Player_Powers
402,14996,Card_Drafting
403,14996,Hand_Management
404,14996,RouteNetwork_Building
405,14996,Set_Collection
406,43111,Action_Point_Allowance_System
407,43111,Area_Control_Area_Influence
408,43111,Area_Movement
409,43111,Dice_Rolling
410,43111,Hand_Management
411,43111,Role_Playing
412,43111,Take_That
413,43111,Variable_Player_Powers
414,14105,Campaign_Battle_Card_Driven
415,14105,Dice_Rolling
416,14105,Hand_Management
417,14105,Hex-and-Counter
418,14105,Modular_Board
419,148949,Dice_Rolling
420,148949,Grid_Movement
421,148949,Modular_Board
422,148949,Pick-up_and_Deliver
423,17133,Action_Point_Allowance_System
424,17133,AuctionBidding
425,17133,Card_Drafting
426,17133,Pick-up_and_Deliver
427,17133,RouteNetwork_Building
428,17133,Tile_Placement
429,91,Campaign_Battle_Card_Driven
430,91,Dice_Rolling
431,91,Point_to_Point_Movement
432,185343,Action_Point_Allowance_System
433,185343,Card_Drafting
434,185343,Dice_Rolling
435,185343,Variable_Player_Powers
436,185343,Worker_Placement
437,171131,Grid_Movement
