mech_game_id,game_id,category
295,175155,Bluffing
296,175155,Fighting
297,175155,Miniatures
298,175155,Science_Fiction
299,175155,Wargame
300,155068,Adventure
301,155068,Fantasy
302,155068,Fighting
303,155068,Miniatures
304,146652,Card_Game
305,146652,Fighting
306,146652,Horror
307,146652,Movies_TV_Radio_theme
308,146652,Science_Fiction
309,147020,Card_Game
310,147020,Fighting
311,147020,Science_Fiction
312,70149,City_Building
313,70149,Economic
314,70149,Industry_Manufacturing
315,70149,Medieval
316,70149,Religious
317,70149,Territory_Building
318,123260,City_Building
319,123260,Economic
320,126042,Card_Game
321,126042,Civilization
322,126042,Economic
323,14996,Trains
324,14996,Travel
325,43111,Fantasy
326,43111,Fighting
327,43111,Horror
328,43111,Mythology
329,43111,Wargame
330,14105,Ancient
331,14105,Wargame
332,148949,Economic
333,17133,Trains
334,17133,Transportation
335,17133,Video_Game_Theme
336,91,Wargame
337,91,World_War_I
338,185343,Economic
339,185343,Science_Fiction
340,171131,Deduction
341,171131,Fighting
342,171131,Nautical
343,171131,Real-time
344,198928,Medical
345,39463,Bluffing
346,39463,Negotiation
347,39463,Science_Fiction
348,39463,Space_Exploration
349,21050,Wargame
350,21050,World_War_II
351,9216,Economic
352,9216,Farming
353,9216,Nautical
354,9216,Renaissance
355,77423,Adventure
356,77423,Card_Game
357,77423,Collectible_Components
358,77423,Fantasy
359,77423,Novel-based
360,54043,Animals
361,54043,Card_Game
362,146886,Economic
363,146886,Farming
364,43015,Renaissance
365,27833,Economic
366,27833,Trains
367,27833,Transportation
368,176189,Adventure
369,176189,Fantasy
370,176189,Fighting
371,176189,Horror
372,176189,Medieval
373,176189,Miniatures
374,176189,Zombies
375,4098,Economic
376,4098,Trains
377,4098,Transportation
378,230802,Abstract_Strategy
379,104006,Farming
380,104006,Medieval
381,148228,Card_Game
382,148228,Economic
383,148228,Renaissance
384,555,City_Building
385,555,Renaissance
386,31627,Trains
387,31627,Transportation
388,31627,Travel
389,128621,Economic
390,128621,Farming
391,215,Card_Game
392,188,Abstract_Strategy
393,196340,Economic
394,10630,Miniatures
395,10630,Wargame
396,10630,World_War_II
397,182874,Economic
398,129437,Card_Game
399,129437,Comic_Book_Strip
400,233078,Civilization
401,233078,Economic
402,233078,Negotiation
403,233078,Political
404,233078,Science_Fiction
405,233078,Space_Exploration
406,233078,Wargame
407,9209,Trains
408,9209,Travel
409,172287,Adventure
410,172287,Dice
411,172287,Fantasy
412,172287,Fighting
413,172287,Medieval
414,172287,Mythology
415,154203,Ancient
416,154203,Card_Game
417,154203,City_Building
418,154203,Civilization
419,20551,Economic
420,20551,Medieval
421,20551,Territory_Building
422,31481,Humor
423,31481,Real-time
424,31481,Science_Fiction
425,31481,Space_Exploration
426,31481,Transportation
427,146439,Dice
428,146439,Fantasy
429,146439,Miniatures
430,146439,Wargame
431,101721,Card_Game
432,101721,Fantasy
433,101721,Fighting
434,234,Ancient
435,234,Political
436,234,Wargame
437,155821,Ancient
438,155821,Card_Game
439,155821,Miniatures
440,155821,Mythology
441,54998,Ancient
442,54998,City_Building
443,54998,Civilization
444,54998,Fighting
445,54998,Miniatures
446,54998,Mythology
447,54998,Nautical
448,7854,Abstract_Strategy
449,140620,American_West
450,140620,Racing
451,22545,Civilization
452,22545,Exploration
453,22545,Renaissance
454,22545,Video_Game_Theme
455,97207,Animals
456,97207,Fantasy
457,97207,Humor
458,12,Ancient
459,12,Mythology
460,93260,Card_Game
461,93260,Fantasy
462,93260,Fighting
463,24181,Economic
464,24181,Nautical
465,24181,Political
466,59294,Adventure
467,59294,Fantasy
468,59294,Fighting
469,59294,Wargame
470,822,City_Building
471,822,Medieval
472,822,Territory_Building
473,38453,Electronic
474,38453,Real-time
475,38453,Science_Fiction
476,38453,Space_Exploration
477,193037,Bluffing
478,193037,Deduction
479,193037,Horror
480,193037,Mature_Adult
481,193037,Science_Fiction
482,193037,Zombies
483,25021,Civil_War
484,25021,Renaissance
485,25021,Wargame
486,181304,Deduction
487,181304,MurderMystery
488,181304,Party_Game
489,19857,Ancient
490,19857,Card_Game
491,19857,City_Building
492,19857,Economic
493,127060,Dice
494,118048,Arabian
495,118048,Card_Game
496,172818,Adventure
497,172818,Book
498,172818,City_Building
499,172818,Economic
500,172818,Exploration
501,172818,Fantasy
502,172818,Farming
503,172818,Negotiation
504,192291,Card_Game
505,192291,Party_Game
506,48726,Dice
507,48726,Science_Fiction
508,176494,Economic
509,176494,Territory_Building
510,27708,Political
511,108745,Card_Game
512,108745,Dice
513,108745,Fantasy
514,155873,Economic
515,155873,Industry_Manufacturing
516,463,Card_Game
517,463,Collectible_Components
518,463,Fantasy
519,463,Fighting
